,tweets,country,sentiment score,label
0,Westaff is looking for teammates like you See our latest Supply Chain job openings including Driver Helper via,USA,0.5,positive
1,Good luck baby girl,USA,0.7000000000000001,positive
2,Nonsense and BS Its been litigated to death No SenTedCruz you will never be President Stop trying You look t,USA,0.0,Neutral
3,Man its hard watching my ex teammate kid play Want him to do good but its theebs hes playing against Tough,USA,0.0064814815000000005,positive
4,Want to work in #Coppell TX View our latest opening LINK CUSTOM HASHTAGS #cintasjobs,USA,0.5,positive
5,sabiyrose I thought that was Spike Lee,USA,0.0,Neutral
6,TokyoSage JujutsuBby,USA,0.0,Neutral
7,itsnaomimarie People not understanding ptsd and asking you why you dont just get over it lo l,USA,0.0,Neutral
8,MikeBucc StephivasTV Still  hours of news Just switching it up a bit,USA,0.0,Neutral
9,I know it sounds cliche but I know several millionaires being in such an industry as mine Like only  of them I kn,USA,0.0,Neutral
10,Very limited Winter restock Head over to to secure your candle Valentines Day Collectio,USA,0.1535714286,positive
11,exzacktlyy Leonsonit Yes I can,USA,0.0,Neutral
12,CyrusMMcQueen Not true Some saw it coming and tried to warn but were mocked or ignored,USA,-0.17500000000000002,negative
13,lol,USA,0.8,positive
14,MaxTiltEd,USA,0.0,Neutral
15,elibisme therachelife amandapproved ahrynchuk sandiahiller WJamesAnderson MeDya Kateenteria,USA,0.0,Neutral
16,shawncollins AustinFC LosVerdesATX I was a little worried about the tshirt fabric fraying but its been fine,USA,0.1145833333,positive
17,Sit Notae the rest of the game Dude is so selfish,USA,-0.45,negative
18,realDonaldTrump AMEN ,USA,0.0,Neutral
19,So many people who got engaged after me are getting married before me and I dont understand how they are planning them so fast lol,USA,0.4375,positive
20,realDonaldTrump Indeed We will begin that process on January  ,USA,0.0,Neutral
21,rd Grade Boys  Perry Pirates def Grand Valley Mustangs  #bigleafhoops exposurebball,USA,0.5,positive
22,POVEBS This script QUICKENED ME the other day bro like if for the first time I understood what this meant He,USA,0.0625,positive
23,AaronKing Understandable Idk know details but I never agreed of firing him I mean he won a sb not that long ago,USA,-0.18125000000000002,negative
24,traviswalch Ohio St playing in Ann Arbor That by itself is stupid since the CFP is in NFL stadiums and Ohio St,USA,-0.8,negative
25,TrendCityShow cloakthescribe statuskult iamestatic benzothesinger InstantJuJu lawrenceola ClevelandHeston okaGroup Lets get it,USA,0.0,Neutral
26,CharlesEchiz epThomasMassie Obviously its a lot different when youre buying favors from the center of the enti,USA,-0.033333333300000004,negative
27,I wanna get hired as a college football coach grossly underperform get fired and ride off with my buyout These n,USA,0.0,Neutral
28, degrees im wearing shorts,USA,0.0,Neutral
29,Who ever you are are you serious voting for those jerks in dem party in Georgia They are so radical left they will,USA,-0.1666666667,negative
30,XMadrid Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Au,Benin,0.0,Neutral
31,buCF Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Aumen,Benin,0.0,Neutral
32,AzharSimreen Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted ,Benin,0.0,Neutral
33,CEngyilian Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  A,Benin,0.0,Neutral
34,trvxcot Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Aume,Benin,0.0,Neutral
35,rebecareaal Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  ,Benin,0.0,Neutral
36,glorinrrs Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Au,Benin,0.0,Neutral
37,TWDiegoM Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  A,Benin,0.0,Neutral
38,XaviMaldonado Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted,Benin,0.0,Neutral
39,Palopit Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Aume,Benin,0.0,Neutral
40,ChuruM Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Aum,Benin,0.0,Neutral
41,ElenaAntoniopi Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted,Benin,0.0,Neutral
42,Fabitosv Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Aum,Benin,0.0,Neutral
43,lurmcf Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Aume,Benin,0.0,Neutral
44,SaudealMadrid Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted,Benin,0.0,Neutral
45,buglemafrakaya Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted,Benin,0.0,Neutral
46,MadridLaker Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  ,Benin,0.0,Neutral
47,auuulM Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted  Aum,Benin,0.0,Neutral
48,DavisPvicente Sergioamos realmadrid Benzema realmadriden llamar o  WhatsApp   Quiere usted,Benin,0.0,Neutral
49,leyonahh EricaNlewedim Congrats,Benin,0.0,Neutral
50,MyEgoIsPink JidelStorm Amen,Benin,0.0,Neutral
