,tweets,country,sentiment score,label
0,JeremyCom Stayed home more than when I was a toddler,USA,0.5,positive
1,AVJamesKing jacobyaudio I agree with your sentiments I disagree with your analogy By making politics a team,USA,0.0,Neutral
2,My th studio album  #Writinghymes is now available for streaming on all online streaming platforms Link,USA,0.4,positive
3,Nunca entender la vaina de postear la misma foto  veces,USA,0.0,Neutral
4,Were hiring warehouse employees in #Columbia SC Apply now #assembler,USA,0.0,Neutral
5,# #FirstDayHike AmericanHiking,USA,0.0,Neutral
6,Okay #AgTwitter hit me with the things you wouldnt live without in a selfpropelled sprayer and a tender,USA,0.3181818182,positive
7,the first time we were on the radio  years ago ,USA,0.25,positive
8,Worlds Creepiest Bot,USA,0.0,Neutral
9,Its January   and WinthropMBB is ranked  in the nation in thePI Keep climbing fellas,USA,0.0,Neutral
10,Massawyrm,USA,0.0,Neutral
11,,USA,0.0,Neutral
12,StephaniePirro Beautiful smile Stephanie Hey girl heyyyyy,USA,0.5750000000000001,positive
13,allstarcharts,USA,0.0,Neutral
14,cojack  goat town,USA,0.0,Neutral
15,Probably the only s im coppin this year,USA,0.0,Neutral
16,Just woke up and the absolutely FIST urge I had for my rd birthday is to go and buy a shit ton of Pokmon cards,USA,0.0,Neutral
17,i really want a tarot card reading,USA,0.2,positive
18,AEEONLINE todos los dias se va la luz en est rea,USA,0.0,Neutral
19,Dont submit then quit Apply for jobs like Parts Delivery at Oeilly Auto Parts then look for people you might,USA,0.0,Neutral
20,Caseyeed Lol yeah for sureits like an infomercial that says,USA,0.8,positive
21,accentsbya SimplyShamaria Fucking weirdo kept asking for my dads address first of all bitch he shoot people ret,USA,-0.17500000000000002,negative
22,AtoZSports Buckeising I hear ealrclark and mspears talk about Dwayne Haskins but my goodness this kid on,USA,0.0,Neutral
23,As a native Californian and SF Bay Area girlnopeshe is getty less than what she deserves Firing squad for Tr,USA,-0.1666666667,negative
24,tinahatesu Morning coffee ,USA,0.0,Neutral
25,there is no correct way to occupy your body as a woman dont ever forget it ,USA,0.0,Neutral
26,Eze on now for Schlupp #cpfc,USA,0.0,Neutral
27,DrOlufunmilayo  a cover girl is a sexy girl,Benin,0.5,positive
28,miguelpeters Happy new year,Benin,0.46818181820000004,positive
29,ErBuKaH dhanddirectorh Too bad ,Benin,-0.7000000000000001,negative
30,Lanne  tait superbe chez nous Ctait plus de k de vue cumuls sur nos  clips vido  sera une ann,Benin,0.0,Neutral
31,,Benin,0.0,Neutral
32,This year were embracing the Uncertainty ,Benin,0.0,Neutral
33,Tuzhkid Dayveedd daddyoyoyoo AlexHouseof Adedotttttttt limitiskii Of lay lay,Benin,0.0,Neutral
34,ipro mais pas QALF mdrrrrrrr,Benin,0.0,Neutral
35,dhanddirectorh The way he talk about nigeria women he his tarnishing our image both single and married never seen,Benin,0.0892857143,positive
36,realmercyeke  have not started beef don continue  wahala dey this country oo,Benin,0.0,Neutral
37,jiworll Facts,Benin,0.0,Neutral
38,djpeejaay IamMayorKun,Benin,0.0,Neutral
39,shukuemekar ,Benin,0.0,Neutral
40,ozochukwu Monday for me too boring ,Benin,-1.0,negative
41,Encore plus de femmes avec de gros fronts et de gros yeux dans nos vies les frres Il est essentiel davoir quelq,Benin,0.0,Neutral
42,AssistantEbukaa Witchcraft,Benin,0.0,Neutral
43,DrOlufunmilayo Why are you always against nigeria women stories like this happen in different part of the world,Benin,0.0,Neutral
44,ntwalis ,Benin,0.0,Neutral
45,ChahineI ,Benin,0.0,Neutral
46,LaureenKitoko ,Benin,0.0,Neutral
47,udanshi Amen,Benin,0.0,Neutral
48,ErekaifeD Supastar Nappyblaze I wish to understand this but I dont ,Benin,0.0,Neutral
49,Finir de prparer nettoyer la cuisine Finir de manger faire la vaisselle Prendre une douche Sallonger dans,Benin,0.0,Neutral
50,Nesprez rien de personnes,Benin,0.0,Neutral
51,Amaka HappinessIjeo Selfmadeceleb ealKiddWaya Co ask,Benin,0.0,Neutral
52,graffigirl ah a,Benin,0.0,Neutral
53,oh tu as succomb toi aussi ,Benin,0.0,Neutral
