,tweets,country,sentiment score,label
0,mikeolley Im so sorryhugs to you,USA,0.0,Neutral
1,MonicaLewinsky Trump is all about the exceptions and not the rules Just gonna leave they sit,USA,0.0,Neutral
2,,USA,0.0,Neutral
3,This thing lasted not even  minutes My dog is a monster,USA,0.0,Neutral
4,VicTafur Ok well he can just text him,USA,0.5,positive
5,nevinlawson CrosbyMaxx JohnathanAbram you guys really really suck ,USA,0.2,positive
6,cnnbrk Dumbasses,USA,0.0,Neutral
7,This defense ,USA,0.0,Neutral
8,#aiders have  first downs to Denvers ,USA,0.25,positive
9,Good thing Chicago made that tackle Green Bay got to run more clock off and still score the TD #GoPackGo,USA,0.33333333330000003,positive
10, atampt   ,USA,0.0,Neutral
11,,USA,0.0,Neutral
12,ieatfishburitos nilbog shannonmstirone Perhaps they are not very curious nor imaginative aliens Space primitivism ftw,USA,0.3192307692,positive
13,Yep,USA,0.0,Neutral
14,EroticSaga got your info on the new twitter account Im following now Good luck tonight Please consider following me ,USA,0.2090909091,positive
15,Alexblx JasonMillerinDC GaSecofState You are on some serious drugs dude,USA,-0.33333333330000003,negative
16,As yo me ro en tu cara celebr tu pena por esa traicin ,USA,0.0,Neutral
17,Thanks to the Cardinals the Bears are still getting into the playoffs ,USA,0.2,positive
18,just when I thought  was going to be a good year had a uncle that died a friend who has COVID and is really b,USA,0.45,positive
19,Aaron Jones LETS FUCKEN GO,USA,0.0,Neutral
20,Faino Barry Sanders,USA,0.0,Neutral
21,,USA,0.0,Neutral
22, marcmorehouse,USA,0.0,Neutral
23,Yeah Im gonna need a drink another one #Titans,USA,0.0,Neutral
24,FranklinGraham TomFitton SpeakerPelosi epMcGovern Heres what I think pelosi thinks way to much She ought to,USA,0.2,positive
25,Thanks for the shout out Followed all that I wasnt following,USA,0.1,positive
26,ThisNiggaAmeer untuckedjersey Lmao I think itll pick up later in the year CP taking a lot of responsibility off of him,USA,0.30000000000000004,positive
27,I TOLD YOU NIGGAS,USA,0.0,Neutral
28,JoeBiden  u cant remember what city u are in most of the timeu wont be presidentit will get thrown out on the th,USA,0.5,positive
29,ersCryssy see the difference now ,USA,0.0,Neutral
30,The other day while I was being a freelance financial advisor someone told me their monthly bills totaled at   I almost started crying,USA,-0.1083333333,negative
31,dirtfile ,USA,0.0,Neutral
32,White Men Cant Jump,USA,0.0,Neutral
33,Man that was a rough year,USA,-0.1,negative
34,I suspect federal records law require transcripts as a minimum Not that these crooks follow the law,USA,0.0,Neutral
35,royalleprincess Quick quick,Benin,0.33333333330000003,positive
36,EricasFineFace Money NamedJunior I get u hun Just try not to engage them put plz u dont have to go,Benin,0.0,Neutral
37,AmTheAbigail VpKiddrica Amen,Benin,0.0,Neutral
38,queencyayo royalleprincess OK on behalf of her am very sorry but u see that reply to otitis tweet she was not th,Benin,-0.075,negative
39,oseharly queencyayo As if its new to us,Benin,0.13636363640000002,positive
40,Tammyee EricaNlewedim Lol so cute,Benin,0.65,positive
41,NOOOIIE Moi Cest NAZE,Benin,0.0,Neutral
42,Mary ChiNneomaChris Na ment Face her and dont include her fave yeah,Benin,0.0,Neutral
43,,Benin,0.0,Neutral
44,Bawal maasar ,Benin,0.0,Neutral
45,observador Ya quisiera yo estar all aqu ayer la sensacin trmica estaba en  ,Benin,0.0,Neutral
46,FatKabongo MichelblmMichel Congolais nde exagration pardon,Benin,0.0,Neutral
47,AgbFrida Je suis mort ,Benin,0.0,Neutral
48,OkwasiaBiNti brokenheart No foolish guy that can tweets,Benin,0.0,Neutral
49,Trs belle exprience quand mme inh Jai mme appris comment aborder une femme dans la rue Pour ceux qui savent,Benin,0.0,Neutral
50,McTushbaba Flex on my guy,Benin,0.0,Neutral
51,Vient de publier une photo  Cotonou Benin,Benin,0.0,Neutral
52,Les commentaires ,Benin,0.0,Neutral
53,niinibda darrellkidjo Top,Benin,0.5,positive
54,Comportement de rue il faut laisser a en ,Benin,0.0,Neutral
55,Affrontes la vie doucement mets toujours Dieu devant ton travail et toutes choses #Akila,Benin,0.0,Neutral
56,Mirabel salut,Benin,0.0,Neutral
57,ZossouDona TTFF Mdrrrr,Benin,0.0,Neutral
58,BismCarm  on fait cmt,Benin,0.0,Neutral
59,Cristianoonaldo #C bat le record de  buts de Pel ce soir  #football #record #Juventus,Benin,0.0,Neutral
60,Malanda Comme ,Benin,0.0,Neutral
61,This could help someone,Benin,0.0,Neutral
62,MrAchraf ,Benin,0.0,Neutral
63,GlobalcryptoE Cant find the place to buy Since  oclock am Instead of finding the place to do it  Im redire,Benin,0.0,Neutral
64,Malanda Mais si quand tes love tu veux faire plaisir  ta moiti c normal lol,Benin,0.4833333333,positive
65,imaneadeoti a va aller ,Benin,0.0,Neutral
