,tweets,country,sentiment score,label
0,This thickkk fil a hit the mofawkin spot,USA,0.0,Neutral
1,thelifeofmanu atlonglast joeyhiphop rapisfunn I misread thought it said love is rage   thats uzis best album ,USA,0.75,positive
2,sadcyberdad THANK ,USA,0.0,Neutral
3, he must not know why we call it Whole Paycheck,USA,0.2,positive
4,No nia Se le nota que come por tres,USA,0.0,Neutral
5,PF Chubbs ,USA,0.0,Neutral
6,Nervous to apply for a job like Team Manager at Panera Bread Apply even if youre not a  match You might be,USA,0.0,Neutral
7,xtouyarokix thank you  ,USA,0.0,Neutral
8,fetishgio #Chromatica,USA,0.0,Neutral
9,This is SO interesting,USA,0.5,positive
10,Dont be shy Score a job like Storage Administrator at IBM by asking for referrals Its a great way to get a me,USA,0.15,positive
11,Not the lrries saying the wedding was a stunt bc of pps You do realize there were two very famous people there r,USA,0.65,positive
12,quinntobean stop paying your student loans we got traveling to do post pandy,USA,0.0,Neutral
13,Quennellmitchel Damn right,USA,0.2857142857,positive
14,YoungBoyCharts GOOD AFTENOON BEAUTIFUL PEOPLE FESH NEW MUSIC NEW STYLES NEW APS ,USA,0.3918181818,positive
15,amazon how in the world do you explain this Finally got around to open my package and there is chewed gum on my,USA,0.0,Neutral
16,,USA,0.0,Neutral
17,EichnerNate AlexWilsonESM I was mad at Ben not playing it ended up fucking Miami in the end As for Mahomes watch,USA,-0.6125,negative
18,PMs gon be singing at K and they still pulling off,USA,0.0,Neutral
19,frankcor Gracias,USA,0.0,Neutral
20,When the market is red that just means everything is on sale GO BUY,USA,0.0,Neutral
21,me listening to Kacey Musk graves ,USA,0.0,Neutral
22,COMBINATION BUGE KING TATTOO SHOP,USA,0.0,Neutral
23,BurrNew Affectation Well if it makes you feel better these are really outdated and no one outside the ss really followed them,USA,0.075,positive
24,Some states delayed winter sports but Texas has allowed the games to go on with precautions #TexasSports #STCN,USA,0.0,Neutral
25,,USA,0.0,Neutral
26,MikePriv  paychecks gone be short,USA,0.0,Neutral
27,MarshaBlackburn So youre in agreement that Joe Biden fairly and decisively won the election right,USA,0.49285714290000004,positive
28,HaroldOni Un jeune innocent ,Benin,0.5,positive
29,MichelAgs Adebissi iamyoussouf ,Benin,0.0,Neutral
30,HaroldOni Je suis un petit jeune ,Benin,0.0,Neutral
31,shelomotola Merci toooh,Benin,0.0,Neutral
32,MrZohoun Si la coupure ne provient daucun quipement de votre tableau cest que celleci est gnrale dans le q,Benin,0.0,Neutral
33,MrZohoun Si le disjoncteur saute quand il pleut cela peut tre d aux surtensions gnres par un orage  une f,Benin,0.0,Neutral
34,togbuinougnala on essaye de vous ressembler en vain,Benin,0.0,Neutral
35,lifeofabaron Everywhere go balance surly ,Benin,0.0,Neutral
36,supremetacha Im interested,Benin,0.25,positive
37,KaramielOurs iamyoussouf Adebissi Je te dis ,Benin,0.0,Neutral
38,Petite pluie l et Canal plus dconne depuis canalplus Bnin revoyez vous,Benin,0.0,Neutral
39,KaramielOurs Adebissi iamyoussouf Viens WhatsApp,Benin,0.0,Neutral
40,supremetacha Im interest supreme,Benin,0.0,Neutral
41,iamyoussouf Adebissi Haha Tu peux ltre ,Benin,0.2,positive
42,nime coupure dlectricit je dbranche le rfrigrateur je louvre pour me prendre une canette et des moustiqu,Benin,0.0,Neutral
43,,Benin,0.0,Neutral
44,Adebissi De ouf Franchement trop top Merci  iamyoussouf pour la trouvaille Depuis son tweet du temps ici je ne men passe plus,Benin,0.5,positive
45,DavidMachadoSE Igualmente,Benin,0.0,Neutral
46,FarezCarlitos LeClubDes EltoMok Si si En tout cas victoire mrite Bravo Du coup hte de vivre la finale,Benin,0.0,Neutral
47,TheMacklon Dayanaisabel Listo,Benin,0.0,Neutral
48,Merci  la pluie pour la mouille bienvenue les grosses crises de sinusite,Benin,0.0,Neutral
49,bohemia Feliz cumpleaos,Benin,0.0,Neutral
50,Quelle pluie ,Benin,0.0,Neutral
51,NarutoZaGoat Sourou kensmkog  Cest toi qui as raison,Benin,0.0,Neutral
52,mIssafro Janivooooseee  voix de rappeur  ,Benin,0.0,Neutral
53,tonaxociee MichelAgs Il en a a marche en pleine pluie,Benin,0.0,Neutral
54,karips Ese no es amigo un carrizo,Benin,0.0,Neutral
55,etour de llectricit,Benin,0.0,Neutral
56,ELEXJK Ni modo hay que seguir,Benin,0.0,Neutral
57,FarezCarlitos LeClubDes EltoMok Flicitations Farez Belle demie Mais pour moi le Goat reste Leoi Elton ,Benin,0.0,Neutral
