,tweets,country,sentiment score,label
0,DullesDistrict JKHokie ,USA,0.0,Neutral
1,Wes Borland is simply a fucking badass ,USA,-0.6000000000000001,negative
2,Wind  mph NW Barometer  inising Temperature  Fain today in Humidity ,USA,0.0,Neutral
3,BGOnTheScene Ok Karen,USA,0.5,positive
4,Also You dont have to repost the same selfie like O times ,USA,0.0,Neutral
5,StephenKing TweetFather Happy Anniversary God Bless,USA,0.8,positive
6,Top ten underrated SI cover photo,USA,0.25,positive
7,TrentGlassPhoto This is really cool makes want to go camping in the blue ridge again,USA,0.17500000000000002,positive
8,PresleyLynn Stairmaster gonna help burn fat AND tone you up The latter two will just burn fat Plus those are b,USA,0.0,Neutral
9,,USA,0.0,Neutral
10,Thanks WCTV for featuring the fladjj Angel Tree Book Drive We are so grateful to all who have donated books and,USA,0.2,positive
11,i love this,USA,0.5,positive
12,Wind  mph  Barometer  inising Temperature  Fain today in Humidity ,USA,0.0,Neutral
13,Abuk subuk seylere para harcayasim geliyor Sonra bir anda param olmadigini fark edip rahatliyorum,USA,0.0,Neutral
14,SenTedCruz newsmax Literally answered prayers Senator God grant you supernatural wisdom insight and courage in,USA,0.1666666667,positive
15,EScratch Unless the ravens win because at one point everyone had it lol,USA,0.8,positive
16,Going to the driving range and not hitting like garbage for the first time in forever,USA,0.25,positive
17,I think Im fucking John Gotti #SuperCocky,USA,-0.6000000000000001,negative
18,Senatoromney MikeLeeforUtah how is it that the Utah Senators are acting like communist sheep,USA,0.0,Neutral
19,Just deleted over  pics from my phone,USA,0.0,Neutral
20,Bruh why are all librarys closed im trynna LEAN,USA,-0.1,negative
21,Our fresh fruit pie special will be blueberrystrawberry thetampaguide tampafoodreview foodiegirltpa,USA,0.3285714286,positive
22,Kanye Pharrell Scott,USA,0.0,Neutral
23,Who gives a fuck if this Baldwin bitch is Spanishussian or Japanese give it a rest #Baldwin,USA,-0.2,negative
24,Kentucky football beating # NC State would sure be a welcome beginning to the New Year ,USA,0.4787878788,positive
25,I viewed Cincinnati as a team built like Kentucky  an SEC East team,USA,-0.1,negative
26,nosilenced Judy YEAH MAYBE HE SOLD OU COUNTY OUT,USA,0.0,Neutral
27,FaZeKay My Muhfuckin time to shine,USA,0.0,Neutral
28,SolomonYue HawleyMO Corrupt traitors all All should be expelled from Congress Patriots and grownups accept e,USA,-0.5,negative
29,NLA is circling over East Hollywood Los Angeles at  feet speed  MPH squawking   miles from Car,USA,0.0,Neutral
30,elonmusk how about that #dogecoin,USA,0.0,Neutral
31,FSantosFritz I actually consumed  tons of tofu this year but good for you IDF,USA,0.35000000000000003,positive
32,TheMutinyofETSU GoMocsMBB VMIBasketball We looked like absolute I got nothing to say man lmao complete shit,USA,0.17500000000000002,positive
33,hujjaahh Yes,Benin,0.0,Neutral
34,Just posted a photo  Cotonou Benin,Benin,0.0,Neutral
35,DeLaBeuh a va aller,Benin,0.0,Neutral
36,Je connais trooooopp a,Benin,0.0,Neutral
37,Badmanic So me,Benin,0.0,Neutral
38,DoriaDako Pasuneskinny  ya des parents criminels,Benin,0.0,Neutral
39,MrAchraf  vraiment,Benin,0.0,Neutral
40,Jtais malade couch hier quand ils ftaient Ils ont quand mme eu le courage de me laisser la vaisselle Des mc,Benin,0.0,Neutral
41,cruisekay Wahala dey dis country,Benin,0.0,Neutral
42,LoicKarl Pasuneskinny Dagobert a existe ,Benin,0.0,Neutral
43,LophiasDossa TTFF Certains votes sont plus objectifs,Benin,0.0,Neutral
44,kensmkog Tranquille ,Benin,0.0,Neutral
45,datgreatnigga My mum and siblings,Benin,0.0,Neutral
46,kensmkog Les pauvres nont rien demand  Si seulement ctait possible de mettre des noms en option ,Benin,0.0,Neutral
47,Grce ne peut pas demander a ,Benin,0.0,Neutral
48,kensmkog Le prnom qui me tue cest Gontran,Benin,0.0,Neutral
49,Theres no better time to sell your Bitcoin than right now k is insane,Benin,-0.32142857140000003,negative
50,MrAchraf LoicKarl polycarpea Envoyez le lien ou cest seulement par MoMo ,Benin,0.0,Neutral
51,kensmkog Cest un de mes profs qui adore les mathmatiques ,Benin,0.0,Neutral
52,kensmkog Haha Joubliais mme certains prnoms Gauss Leibniz joublie le e Tous enfants dune mme personne ,Benin,0.2,positive
53,eady for Mali  ,Benin,0.0,Neutral
54,,Benin,0.0,Neutral
55,,Benin,0.0,Neutral
56,Plus tu sais apprcier les oeuvres des autres plus les gens trouveront de lintrt aux tiennes La vie a horreur du vide #EtSiTu,Benin,0.0,Neutral
57,Trissy U have to change your status,Benin,0.0,Neutral
58,lilianasepho U just feel like being stupid this evening cuz there is no way u would say nlewedim is broke U know that,Benin,-0.8,negative
59,kensmkog ,Benin,0.0,Neutral
60,edjedjieJunior Tout a pour te rchauffer ,Benin,0.0,Neutral
61,Dkoshami kensmkog Mme toi ,Benin,0.0,Neutral
62,shelomotola,Benin,0.0,Neutral
63,lilianasepho This tweet is  grow up Make it make sense dear,Benin,0.0,Neutral
64,rxdkxd Tu as beaucoup trop de flow,Benin,0.0,Neutral
65,Dans ton entreprise l  Il faut combien de #travailleuses ou bien #travailleurs,Benin,0.0,Neutral
66,shelomotola Prend moi comme ton zem off,Benin,0.0,Neutral
67,LarissaNjetchou Je te souhaite mme pas a,Benin,0.0,Neutral
68,Camarysyer JidelStorm For wheredont mind them,Benin,0.0,Neutral
69,LoicKarl polycarpea MrAchraf Je dois minscrire sinon ,Benin,0.0,Neutral
70,Any update ,Benin,0.0,Neutral
